,TECH_1,TECH_2,TECH_3,TECH_4,TECH_5,TECH_6,FIN_1,FIN_2,FIN_3,FIN_4,FIN_5,ENERGY_1,ENERGY_2,ENERGY_3,ENERGY_4,STAPLE_1,STAPLE_2,STAPLE_3,STAPLE_4,STAPLE_5
2022-01-24,-0.017788,-0.021515,0.004523,-0.002929,-0.009964,-0.007837,-0.010622,-0.013497,-0.002376,-0.002831,-0.008235,-0.016925,-0.000473,-0.027396,-0.013625,0.012325,-0.013563,0.005564,0.02106,-0.002524
2022-01-25,0.013388,0.010062,-0.018261,0.019462,0.008753,-0.006036,-0.013536,-0.02417,0.005633,-0.000884,-0.006012,0.003971,-0.010807,-0.000564,0.012106,-0.014004,-0.01718,-0.013843,-0.013968,-0.043153
2022-01-26,0.008088,0.009936,0.015671,0.01314,0.007947,0.00678,-0.008321,-0.016823,-0.027917,-0.022247,-0.02297,0.001255,0.009751,-0.003414,-0.007488,0.019012,0.019232,0.013029,0.034751,-0.006851
2022-01-27,-0.012014,-0.00847,-0.011529,-0.019679,-0.012495,-0.021513,-0.02172,-0.033978,-0.039058,-0.025558,-0.014347,0.009336,0.014804,-0.024025,-0.003129,-0.009416,0.025436,0.001103,0.005076,-0.004317
2022-01-28,-0.007581,0.027562,-0.000449,0.023439,0.01426,0.019378,-0.025986,-0.0202,0.007672,-0.016071,0.021407,0.024306,0.034214,-0.024864,0.003734,-0.011384,-0.012924,-0.020376,-0.013399,0.002806
2022-01-31,0.037514,0.042485,0.017971,0.001127,0.020035,0.020327,0.012547,0.0104,0.007433,0.016545,0.014682,0.039345,0.03826,0.029729,0.041089,0.016352,0.00832,0.028379,0.03323,0.01679
2022-02-01,-0.006622,-0.019171,-0.028138,-0.009347,-0.010583,-0.006449,-0.014011,-0.017797,-0.014586,-0.011726,-0.001481,-0.02176,-0.02747,-0.032211,-0.01761,-0.015138,-0.013256,-0.02413,-0.004221,-0.019898
2022-02-02,-0.017179,-0.001596,-0.012956,-0.013346,-0.010387,-0.016122,0.007825,-0.013414,0.009612,-0.014241,0.009703,0.064948,0.012444,0.014916,0.034523,0.001055,0.048396,-0.01327,-0.006845,0.008362
2022-02-03,0.001742,0.025906,0.005683,0.020348,0.003837,0.004411,-0.012063,-0.026229,-0.014923,-0.011486,0.019754,-0.004148,0.020367,0.037491,0.020525,0.004169,0.018218,0.02465,0.009364,0.001858
2022-02-04,-0.000905,0.011557,-0.015233,0.004814,0.005088,0.003971,0.014017,0.00603,0.02131,-0.006071,0.000699,0.03527,0.011358,-0.004004,0.006906,-0.00263,0.000845,-0.000284,-0.013321,0.003845
2022-02-07,0.017217,0.010939,0.03334,0.008191,0.022621,0.019163,-0.015491,-0.021024,0.003714,-0.01814,-0.009054,-0.03941,-0.001669,0.000279,-0.012274,0.002637,-0.015574,0.041298,0.024925,0.001629
2022-02-08,-0.025731,-0.039919,0.012175,-0.033472,-0.026599,-0.032426,-0.010137,-0.021575,-0.018003,-0.009689,0.007359,-0.058029,-0.02744,-0.035915,-0.025176,-0.015434,-0.025757,-0.00875,-0.016401,-0.043952
2022-02-09,-0.019907,0.007258,0.013216,-0.007591,-0.002717,-0.00482,0.032465,0.010016,0.002828,0.01894,-0.008698,0.026198,0.003224,0.039726,0.020603,-0.007188,0.005454,-0.012326,-0.016161,-0.000861
2022-02-10,-0.004115,-0.004041,-0.012294,-0.021219,-0.012453,-0.015553,-0.004458,-0.025347,-0.014507,-0.015855,-0.001308,0.008184,0.009028,0.005741,0.005875,0.019581,-0.004966,-0.003209,-0.006621,-0.031603
2022-02-11,-0.008915,-0.022125,-0.01756,-0.003706,-0.00183,-0.009578,0.01034,0.016548,-0.016879,0.015931,0.00632,-0.009913,0.039328,0.010156,0.04217,-0.009569,0.000448,-0.002929,-0.000656,0.011431
2022-02-14,-0.020121,-0.012425,-0.020824,-0.023275,-0.00182,-0.0181,0.024565,0.004372,0.003343,0.006306,-0.002488,-0.011838,0.00511,0.03461,-0.003818,-0.005221,-0.014935,0.001724,0.0014,0.003117
2022-02-15,-0.004928,-0.024442,-0.021523,-0.017176,-0.019397,-0.020343,-0.040484,-0.021078,-0.028883,-0.010666,-0.018385,-0.04394,-0.013446,-0.011543,-0.024941,0.004425,0.024181,0.013124,-0.011751,0.026622
2022-02-16,0.021802,0.019572,0.006298,0.024716,0.025322,0.010374,-0.03522,-0.016965,-0.01322,-0.016453,-0.026646,0.028782,0.011492,0.030018,0.026684,0.015544,0.016187,-0.006191,0.014787,0.021527
2022-02-17,0.007677,-0.001468,-0.016885,0.006334,0.007757,0.004291,0.023055,0.003564,0.017496,0.004447,-0.016563,0.011481,-0.002361,-0.020654,-0.012632,0.00092,0.004105,-0.00133,0.005809,0.008522
2022-02-18,0.012597,0.01316,-0.006821,0.011644,-0.006007,0.006874,-0.00055,0.013206,-0.004283,0.006546,0.004383,0.014937,0.009227,0.016515,0.043897,-0.018605,-0.014143,-0.005634,-0.031604,0.019152
2022-02-21,-0.0043,-0.014557,-0.018014,-0.013888,-0.015562,-0.023928,-0.013633,-0.002243,-0.000682,-0.007951,-0.009252,-0.003485,-0.015178,-0.006795,-0.01123,-0.009641,0.016194,-0.004429,-0.01041,-0.005458
2022-02-22,0.013327,-0.002088,-0.010044,0.003847,0.004001,-0.009341,0.008507,0.012971,-0.010501,-0.009598,0.011315,0.003195,0.013033,0.008783,-0.016228,-0.008551,0.00224,0.000325,-0.004327,0.006035
2022-02-23,-0.015874,-0.031858,-0.015325,-0.009162,-0.009918,-0.0087,0.006184,-0.001187,-0.003855,-0.017443,0.002844,-0.024435,-0.013085,-0.022662,-0.018695,-3.4e-05,0.029914,0.004492,-0.005574,-0.002316
2022-02-24,-0.00705,0.001386,0.008158,0.020834,0.02039,0.004532,0.000458,0.014107,0.031288,0.020363,-0.003394,-0.022962,0.022665,0.000705,-0.010174,-0.000993,0.006979,0.01,-0.016049,0.043551
2022-02-25,-0.00608,0.015959,0.003431,-0.009898,-0.00223,-0.016494,0.005761,0.040515,0.0271,0.032503,0.018337,0.002425,0.007234,0.014541,0.016016,0.009758,0.022092,0.044611,0.017201,0.03537
2022-02-28,-0.00663,-0.001093,0.005911,-0.007531,-0.025722,-0.001243,0.00148,0.014329,-0.023245,0.013176,-3.9e-05,-0.003764,0.037213,0.004031,-0.013315,0.02255,0.010586,0.026148,-0.007274,0.019422
2022-03-01,0.005073,-0.010918,0.014446,0.004977,-0.007478,-0.011079,0.002492,-0.023771,-0.018807,-0.002441,-0.002988,-0.009405,-0.002604,0.00841,-0.01156,-0.008702,0.003298,0.007947,0.001631,0.001524
2022-03-02,0.022828,-0.023076,-0.075955,-0.013121,-0.014711,-0.025777,-0.00918,-0.005978,0.017811,-0.006615,-0.005578,0.006428,0.002141,0.007136,0.011833,0.008893,-0.002687,0.008729,8.7e-05,-0.023887
2022-03-03,0.001585,-0.012092,-0.016896,0.008815,-0.002806,-0.009958,-0.021183,-0.014736,-0.040874,-0.028463,-0.012183,-0.025991,-0.011827,-0.028757,-0.045564,-0.033901,-0.019199,-0.009749,0.009368,-0.027666
2022-03-04,-0.035129,-0.01945,-0.033082,-0.01924,-0.017651,-0.002816,0.007328,-0.007939,-0.002561,-0.007534,-0.018316,0.007126,-0.007527,0.005494,-0.001932,0.023753,0.025746,-0.006903,0.018124,0.011881
2022-03-07,-0.026293,-0.019038,-0.030649,-0.011352,-0.025042,-0.026438,-0.020637,-0.018503,-0.036081,-0.008267,-0.014178,-0.001333,-0.013096,-0.018031,-0.032893,-0.00536,-0.036054,-0.017042,-0.006064,0.013569
2022-03-08,0.014729,-0.001741,-0.001893,0.018604,0.009057,0.003693,-0.003848,0.004426,0.005075,0.002732,0.002018,-0.018114,-0.032605,0.006673,-0.012353,0.001905,-0.015364,0.010184,0.009544,0.013652
2022-03-09,-0.01063,-0.006802,-0.013656,-0.013626,-0.01314,-0.006378,-0.023266,-0.028141,-0.020567,-0.016753,0.005251,-0.041161,-0.00044,-0.010756,-0.009761,-0.005911,-0.015093,0.001757,-0.008449,0.022186
2022-03-10,-0.011813,0.035049,-0.00341,0.021274,0.024553,0.016135,-0.004282,0.000351,0.020619,0.000516,-0.019709,0.019517,-0.016607,0.004022,-0.005124,-0.01248,0.007446,0.030036,-0.018773,-0.018833
2022-03-11,0.021455,0.01355,0.027626,-0.002981,0.011807,0.003676,-0.005091,-0.014988,-0.011927,0.004096,-0.000675,0.018626,0.037923,0.003147,0.009499,0.009629,-0.007735,0.00036,-0.017671,0.008709
2022-03-14,-0.001072,-0.006505,0.013623,0.019696,-0.010058,0.000927,0.023825,0.008928,0.052576,0.008411,-0.001554,-0.005541,0.038582,-0.014465,0.008413,0.004903,0.011562,0.011749,-0.002624,0.002673
2022-03-15,-0.006379,0.000199,0.029983,0.022267,0.003899,0.02037,0.012462,-0.016907,-0.011276,-0.015961,0.004871,-0.003015,-0.001981,0.023669,-0.002342,-0.017352,-0.006873,-0.002773,-0.009135,-0.020358
2022-03-16,0.033051,0.041791,0.047971,0.03652,0.028677,0.025126,0.018383,0.032763,0.009838,0.008491,0.00669,-0.007277,0.02287,0.011077,0.022287,0.011344,0.018402,0.011527,0.022126,0.008329
2022-03-17,0.007605,0.01806,0.008361,0.011633,0.014856,-0.005972,0.025558,0.007958,-0.005026,0.000712,-0.01013,-0.004818,-0.003537,0.030939,0.007752,0.004102,0.006664,0.018467,0.021819,0.036637
2022-03-18,0.00362,-0.013081,0.00354,0.000922,0.010084,0.007547,-0.031868,-0.017045,0.020126,-0.018036,-0.008337,0.015533,-0.002724,-0.002384,-0.004502,0.034616,0.007662,0.006095,0.04386,0.03236
2022-03-21,0.034632,0.012688,0.015609,0.049862,0.02265,0.026013,0.012463,0.01456,0.015546,-0.003365,-0.006393,0.024384,0.018614,0.044201,0.008176,0.002827,0.025461,-0.025593,0.007222,-0.038905
2022-03-22,0.015491,0.017852,0.02144,0.032637,0.007233,0.021608,-0.004286,0.008165,0.029247,0.003969,0.012902,0.011653,-0.011168,-0.020413,-0.004764,0.02095,0.017624,0.001338,-0.000294,0.000529
2022-03-23,-0.007461,-0.004703,-0.002757,-0.000686,-0.016936,-0.003622,-0.021751,0.009326,0.007154,-0.017499,-0.007874,0.021305,-0.017886,-0.005911,-0.014028,-0.009508,-0.016752,-0.008415,0.000624,-0.01428
2022-03-24,0.003232,0.024222,0.028127,0.00733,0.006928,0.02559,0.018986,0.031197,0.023782,0.026698,-0.004402,0.012097,0.028195,0.016912,0.004745,0.019435,0.01266,0.024661,-0.020777,-0.00558
2022-03-25,-0.014619,-0.016775,0.004675,-0.015652,0.003022,-0.00072,-0.017792,0.004222,-0.015248,-0.00414,-0.003583,0.040324,0.003895,0.0385,0.017541,0.009248,0.026011,0.031711,0.012769,0.004411
2022-03-28,0.017484,0.008624,-0.004734,-0.007191,0.004564,-0.004164,-0.02113,-0.04137,-0.050537,-0.018382,-0.022137,0.017981,-0.019465,0.009631,0.013997,4.7e-05,0.010276,0.009948,0.021645,-0.006855
2022-03-29,0.026522,0.013198,-0.003192,0.011077,0.00197,0.009572,0.006705,0.001876,0.009777,0.003106,0.001503,0.0365,0.040529,0.02854,0.016785,-0.009332,-0.000506,-0.015877,0.007691,0.004896
2022-03-30,0.014295,0.008952,0.036109,0.01921,-0.003564,0.018256,0.011257,0.036747,0.042175,0.015455,0.027493,0.01789,0.008293,0.006672,-0.008373,0.031599,0.039686,0.031422,0.009265,-0.040828
2022-03-31,-0.016354,0.00928,0.001873,0.017844,0.02106,0.008569,-0.014006,-0.020647,-0.020102,-0.013296,-0.000129,-0.028018,-0.010135,-0.019445,-0.008209,-0.001852,0.012074,-0.007187,0.002096,-0.036084
2022-04-01,-0.02806,-0.018456,0.002041,-0.019742,-0.001871,-0.017321,-0.003172,-0.018825,-0.031341,-0.023867,-0.017832,0.013536,0.017814,0.001624,0.005916,-0.006575,-0.001838,-0.005912,-0.020754,-0.010777
2022-04-04,-0.013989,-0.013504,0.009167,-0.030323,-0.015159,-0.015755,0.001376,0.010693,0.000755,0.007555,0.002296,0.01326,-0.011822,0.013068,0.017187,-0.016869,-0.028037,-0.008004,0.017531,-0.031151
2022-04-05,-0.013196,0.008494,0.006207,0.011719,-0.013877,0.005514,0.008229,0.011501,0.009572,-0.007998,-0.010811,-0.047098,-0.011916,-0.041524,-0.010758,-0.007221,0.008753,-0.000797,0.011617,0.017362
2022-04-06,0.009646,0.002545,0.0443,0.012297,0.001193,0.010322,-0.009862,-0.021994,-0.029591,-0.003458,0.00093,-0.018043,-0.005244,-0.049561,-0.010219,0.010351,0.038068,0.01737,0.011537,0.008446
2022-04-07,0.022475,0.017848,0.011115,0.005913,-0.00296,0.01951,-0.018066,0.007455,-0.013984,-0.008882,-0.002712,-0.012885,0.021842,0.010177,0.038861,-0.01059,0.023106,-0.009664,-0.014916,-0.021753
2022-04-08,-0.016695,0.00575,0.019289,0.00127,-0.006619,-0.01821,0.005055,-0.015968,-0.020887,-0.021343,-0.002778,-0.001405,0.005283,-0.003442,0.012601,0.026326,0.039668,0.021854,0.002852,0.009673
2022-04-11,0.005872,-0.010022,0.004952,-0.016894,-0.008564,-0.005617,0.00565,-0.007822,-0.014038,-0.008829,-0.018846,-0.006753,-0.020147,0.0045,-0.005397,0.006156,0.003231,-0.025358,-0.006638,-0.003021
2022-04-12,-0.00046,-0.02037,-0.015584,-0.00933,-0.011546,-0.015908,0.003805,-8.7e-05,-0.022282,-0.004324,0.001114,0.043976,0.020158,0.047297,0.046049,9.5e-05,-0.008873,-0.006149,-0.028422,-0.036551
2022-04-13,0.015221,-0.029594,-0.014845,-0.020292,-0.018615,-0.02444,-0.008776,-0.004277,-0.015129,0.003008,0.025552,-0.009535,-0.049447,-0.005115,-0.021518,-0.003433,-0.028763,0.000435,0.019509,-0.015887
2022-04-14,-0.014434,-0.006275,0.001595,-0.014072,-0.002191,0.011366,0.006387,0.025148,0.027724,0.024166,0.019943,0.003289,-0.0029,0.017305,-0.011683,-0.011821,-0.00108,0.011291,0.013819,-0.000592
2022-04-15,-0.00337,0.013424,0.019229,0.004132,-0.013791,-0.011575,0.019966,0.020205,0.013829,0.011231,-0.008597,0.013501,0.029072,-0.013586,0.007014,0.009323,-0.009669,0.007262,-0.007068,-0.012719
2022-04-18,0.01225,0.029302,0.015229,0.006902,0.023362,0.024994,0.038277,0.017615,0.032301,0.028991,0.002602,0.046046,-0.007378,0.040459,0.035558,0.021432,0.001679,-1e-05,0.029268,0.028812
2022-04-19,0.02883,0.009655,0.01489,0.009384,0.020698,0.015868,0.015479,0.001529,0.013379,0.016783,0.008953,0.018775,0.001363,0.005211,0.004762,0.010258,-0.003838,0.010677,0.006868,-0.007856
2022-04-20,0.014506,0.000375,-0.02575,0.000227,-0.011012,-0.004131,0.015225,-0.005136,0.012588,-0.000719,0.011806,-0.031642,-0.024209,-0.024744,-0.001137,-0.01665,-0.011635,0.011578,0.009073,-0.014156
2022-04-21,0.008857,-0.001491,-0.006784,-0.010583,0.002709,-0.009621,0.001934,-0.002007,0.014789,0.005648,-0.028566,0.017313,0.030123,0.002949,-0.001368,-0.026451,-0.014548,-0.008266,-0.035771,-0.021469
2022-04-22,0.049666,0.04846,0.027145,0.034693,0.053689,0.021776,0.007704,0.017876,-0.004519,0.012341,0.027423,0.012125,-0.000637,-0.003431,0.039707,-0.023058,0.003491,-0.012802,-0.001824,0.041852
2022-04-25,0.034689,0.028259,0.039588,0.026499,0.028735,0.033578,0.001269,0.016313,0.006094,0.01647,-0.024486,0.016503,0.039625,0.018843,0.024874,0.030635,0.022534,0.004042,0.025091,0.036366
2022-04-26,-0.017244,-0.012821,-0.045731,-0.00112,-0.019103,-0.012718,0.003234,0.013024,-0.004519,-0.003068,0.009924,0.015782,0.003025,0.000957,-0.002911,0.0126,0.003458,0.016519,0.00456,0.005536
2022-04-27,0.006741,0.009622,-0.008345,0.008169,0.007719,0.004506,0.044599,0.023592,0.032026,0.036515,0.012571,0.016541,-0.023872,-0.000497,-0.003507,-0.003494,0.030992,0.02545,-0.008047,0.014547
2022-04-28,0.026535,0.011424,-0.008492,0.006341,0.014357,-0.006522,-0.000682,-0.002697,0.015106,0.009042,0.016023,-0.00348,0.014563,0.013274,0.014471,-0.001146,0.029316,-0.000671,0.015756,-0.012475
2022-04-29,0.02759,0.009426,0.011798,0.024354,0.009118,-0.01029,-0.008741,-0.01131,0.007462,0.016534,0.005331,0.001341,0.004581,-0.032756,-0.017134,0.020888,-0.006329,0.019753,0.031905,0.018714
2022-05-02,-0.011121,-0.007862,-0.015251,0.005418,-0.011575,-0.007573,-0.041169,-0.015317,-0.010615,0.000903,-0.008347,-0.005643,-0.014692,-0.000643,-0.001329,-0.035765,-0.016267,-0.010673,-0.009887,-0.004302
2022-05-03,-0.01048,-0.017686,-0.018018,-0.011442,0.007739,-0.001643,-0.010464,0.003352,-0.003913,0.006692,0.00811,-0.007195,-0.028043,-0.024385,-0.031732,0.004815,-0.007984,0.022427,-0.018439,0.047776
2022-05-04,-0.013711,-0.004346,-0.0207,-0.012913,-0.009226,-0.004713,0.013832,-0.001831,5.5e-05,0.008963,0.005772,0.012505,-0.030633,0.010977,-0.000258,0.005675,-0.01915,-0.012707,-0.016884,7.2e-05
2022-05-05,-0.012376,0.014796,0.012998,-0.013575,-0.00251,-0.011735,-0.029948,-0.035096,-0.007675,-0.014569,-0.014613,-0.00633,-0.01977,-0.006881,0.007333,0.019436,0.004926,-0.001811,0.031806,0.027386
2022-05-06,0.004595,-0.009311,-0.009584,-0.02268,-0.006852,-0.007114,-0.013493,-0.019124,-0.022507,-0.019724,0.010169,-0.028027,0.036406,0.026289,0.035998,0.004633,0.01572,0.020122,0.011894,0.000737
2022-05-09,-0.020752,0.00089,-0.024803,-0.018988,-0.011276,-0.015413,-0.008736,0.003372,0.002976,-0.002322,-0.025325,0.004894,-0.00048,-0.007806,-0.003707,0.013034,-0.027901,0.006239,0.009566,0.030731
2022-05-10,0.029292,0.001523,-0.014419,0.001658,0.01756,0.005561,-0.033681,-0.000497,-0.008878,0.000299,0.006739,0.031879,0.018125,0.016475,0.037775,0.004536,-0.017157,-0.007666,0.007718,-0.028423
2022-05-11,-0.018019,0.003432,0.010422,-0.019047,0.000758,0.000234,0.007324,0.030207,0.02771,0.033163,0.029614,0.007497,-0.010089,0.032561,0.014565,0.010256,-0.048867,-0.021183,-0.012359,-0.040011
2022-05-12,-0.04743,-0.042004,-0.003638,-0.029235,-0.019314,-0.042216,0.007574,0.022815,0.019098,0.007467,0.011413,0.005064,-0.008002,-0.014914,-0.010986,-0.005986,0.005011,0.014358,0.003453,-0.006415
2022-05-13,0.010092,0.020571,-0.023368,0.01545,0.001264,0.005922,0.036941,0.016666,0.01704,0.00505,0.021057,-0.005038,-0.017565,-0.012393,-0.002705,-0.012554,0.002737,0.007354,0.006161,0.002413
2022-05-16,0.003053,0.009223,-0.000767,0.007029,0.004108,0.012965,0.020164,0.011783,0.012146,0.019112,0.01685,-0.008915,-0.023687,-0.015646,-0.00553,-0.015621,-0.010926,-0.002332,0.010271,-0.004094
2022-05-17,0.00879,-0.006588,0.0109,-0.002906,-0.004953,-0.00082,0.009752,0.011957,-0.03253,-0.015628,0.007421,0.011154,-0.008218,0.000159,-0.013715,-0.017561,-0.015282,0.002583,-0.013165,-0.014724
2022-05-18,-0.024525,0.001411,0.004569,-0.013856,-0.008436,-0.003708,-0.021598,-0.016469,0.007808,0.001557,0.009961,0.040936,0.023771,-0.00732,-0.019416,-0.000382,0.020159,0.015588,0.010479,-0.010683
2022-05-19,0.003222,0.018188,0.001581,0.016093,0.009994,0.009885,0.009919,-0.011387,-0.029283,-0.009009,0.00468,0.001705,-0.005734,-0.036022,-0.027766,0.017865,0.017411,-0.010668,0.012546,0.011529
2022-05-20,0.011698,0.010682,-0.012491,-0.004827,0.00074,0.012229,-0.006407,-0.00749,-0.009677,-0.021156,-0.00614,-0.012475,0.003741,0.014639,0.021327,0.001457,0.008482,0.009429,0.020772,0.002966
2022-05-23,0.014074,-0.004887,0.000818,-0.006662,-0.003235,-0.007459,-0.024462,0.00488,-0.020762,-0.004753,0.001578,0.032895,0.017289,0.038343,0.0017,0.003766,0.014269,-0.001657,-0.017773,0.001483
2022-05-24,-0.032411,-0.026243,-0.003635,-0.038511,-0.036537,-0.024228,-0.024337,-0.023146,-0.004917,-0.029262,-0.049614,-0.035503,-0.013805,-0.027709,-0.028129,-0.008204,-0.041345,-0.024256,-0.033385,-0.048807
2022-05-25,0.018217,0.004949,-0.017609,0.003365,0.003118,0.009021,-0.030572,-0.015565,-0.014256,-0.014555,0.004156,0.006683,0.00361,0.005201,-0.03052,0.019909,-0.00667,0.03141,0.042521,0.011782
2022-05-26,-0.001664,-0.000338,0.000819,0.010697,0.014244,0.017897,0.021335,0.01806,0.028794,0.013065,0.03341,0.00295,0.008245,-0.001847,-0.015793,0.011361,-0.015676,0.055034,-0.009087,0.003366
2022-05-27,0.005424,0.011749,-0.00736,0.010274,0.005885,-0.002108,-0.015537,0.009615,0.016403,-0.004325,-0.018377,-0.003068,-0.007834,0.000331,-0.014328,-0.018788,-0.006202,-0.033255,0.001885,0.000172
2022-05-30,0.014206,0.013368,0.006188,0.010296,-0.002032,0.014421,0.013214,0.022728,0.005097,0.016543,-0.016172,-0.01491,0.00526,0.017555,0.012465,-0.006146,0.003421,-0.001942,-0.018803,0.00385
2022-05-31,-0.001131,0.014306,-0.004214,0.006627,-0.008366,0.005454,-0.001991,0.002253,-0.012609,-0.005068,0.002778,0.00657,-0.024374,-0.006394,-0.019738,-0.024864,-0.042199,-0.052322,-0.018098,-0.001497
2022-06-01,-0.016754,-0.0277,-0.003416,-0.017809,-0.027398,-0.001272,-0.000364,-0.037914,-0.013795,-0.025898,-0.013251,0.008729,0.010261,0.028257,-0.0049,0.000206,-0.026138,-0.032975,0.015009,-0.005591
2022-06-02,-0.010997,0.004976,0.002138,0.012133,-0.014652,0.008208,0.000722,-0.014168,-0.002077,-0.003287,-0.014939,-0.003519,-0.012426,-0.013283,-0.016389,-0.007748,-0.023915,-0.003932,-0.009488,0.003155
2022-06-03,0.000968,0.021421,-0.006116,0.028975,0.015665,0.011098,0.019411,-0.016927,-0.0085,-0.006032,-0.021588,-0.011802,-0.010867,0.015967,-0.002888,0.013511,0.014596,-0.00236,-0.007805,0.0087
2022-06-06,0.019112,-0.006085,0.00174,0.009837,0.006954,0.007387,0.017401,0.024591,0.027092,0.028344,0.009454,0.007175,0.040964,-0.003024,0.012728,0.015491,-0.004566,-0.01462,0.007684,-0.006953
2022-06-07,0.009871,-0.011979,-0.014834,-0.007077,-0.004517,-0.002569,-0.020984,-0.004272,-0.00512,-0.01637,-0.024177,-0.019503,0.01229,-0.023564,-0.024711,-0.016999,0.002846,-0.021446,-0.001202,-0.009688
2022-06-08,-0.005773,-0.020609,-0.011268,-0.00395,-0.010647,-0.017136,0.028838,-0.025055,-0.029246,0.012629,0.014305,0.007631,-0.003067,-0.034114,-0.00275,0.016098,0.013781,0.036643,-0.006306,0.006713
2022-06-09,-0.000752,-0.011192,-0.049429,-0.027029,-0.022891,-0.0203,-0.028676,-0.01271,0.010658,-0.011663,0.009351,0.003359,-0.002427,0.001895,-0.019208,-0.033488,-0.049365,-0.043242,-0.024913,-0.014596
2022-06-10,0.002115,-0.000588,0.006761,0.001286,0.004117,0.001845,0.020432,-0.012589,-0.010366,-0.008041,-0.011955,0.0383,0.012546,0.039945,-0.003137,-0.011495,0.019421,0.02665,-0.020959,0.012239
2022-06-13,-0.015856,-0.017931,-0.02456,-0.017793,-0.014078,-0.02221,0.001526,-0.018407,0.020001,-0.002054,-0.011038,0.011359,-0.004532,-0.010375,0.006069,-0.004784,0.003522,-0.021018,-0.003486,-0.022262
